,qkey,attribute,group,D_H,R_H
0,MADEUPSHARE2_W45,Overall,Overall,[0.10486347 0.89513653],0.006920697435070365
1,INFOKNOWd_W45,Overall,Overall,[0.58702275 0.41297725],0.011057053756083178
2,NEWSPROBb_W45,Overall,Overall,[0.51553323 0.35304104 0.09882389 0.03260184],0.011729069317290387
3,SMSHARE_W45,Overall,Overall,[0.08429397 0.28308086 0.22386839 0.04037394 0.36838284],0.004455662758405635
4,MADEUPOFT_W45,Overall,Overall,[0.3814991  0.51188557 0.08748221 0.01913312],0.007006892803537958
5,SMLIKESb_W45,Overall,Overall,[0.2587876  0.47709358 0.26411881],0.012692696014014047
6,INFOCHALe_W45,Overall,Overall,[0.45181111 0.33898532 0.1509082  0.05829537],0.021717502926495658
7,MADEUPSHAREWHY_W45,Overall,Overall,[0.27417429 0.08004275 0.18322408 0.46255888],0.0025890688101804665
8,INFORESTRICTb_W45,Overall,Overall,[0.69708783 0.30291217],0.016443366739934857
9,WATCHDOG_3_W45,Overall,Overall,[0.26762989 0.73237011],0.02218182954239334
10,MADEUPSHARE1_W45,Overall,Overall,[0.49071125 0.50928875],0.009299409603509431
11,SMLIKESe_W45,Overall,Overall,[0.78052242 0.17028249 0.04919508],0.00471655199308363
12,MADEUPRESa_W45,Overall,Overall,[0.63627638 0.36372362],0.006989774918439185
13,INFOCHALd_W45,Overall,Overall,[0.44385019 0.35783885 0.14565322 0.05265773],0.02446916647029038
14,INFOOWNd_W45,Overall,Overall,[0.77331332 0.22668668],0.00944325237715095
15,RESTRICTWHO_W45,Overall,Overall,[0.12170494 0.08977976 0.19800435 0.53916911 0.05134185],0.008944633140704813
16,SMLIKESa_W45,Overall,Overall,[0.57038962 0.31545061 0.11415977],0.011629458170577105
17,INFORESTRICTc_W45,Overall,Overall,[0.45926469 0.54073531],0.01028054476298565
18,MADEUPTOPICa_W45,Overall,Overall,[0.7499601  0.22114539 0.02889451 0.        ],0.00483979312998167
19,MADEUPSMCLICK_W45,Overall,Overall,[0.05295437 0.26244745 0.35476906 0.22696136 0.10286776],0.005867948108315592
20,MADEUPLEVELb_W45,Overall,Overall,[0.18346247 0.53132161 0.28521592 0.        ],0.005538568537450729
21,MADEUPRESb_W45,Overall,Overall,[0.43768388 0.56231612],0.00733337932261803
22,INFOKNOWa_W45,Overall,Overall,[0.4357992 0.5642008],0.010551150578785059
23,INFOCREATEd_W45,Overall,Overall,[0.35964296 0.50102808 0.13932896 0.        ],0.011996059189632
24,INFORESTRICTe_W45,Overall,Overall,[0.22557243 0.77442757],0.007797056959798557
25,ACCCHECK_W45,Overall,Overall,[0.2938771  0.46671661 0.17565213 0.06375416],0.00823248284538772
26,NEWSPREFV2_W45,Overall,Overall,[0.07610084 0.08517554 0.41453787 0.12549259 0.29869317],0.003942190245118877
27,SOURCESKEPb_W45,Overall,Overall,[0.02877405 0.36524994 0.4749215  0.13105451],0.004078922234624591
28,INFOCONFUSEd_W45,Overall,Overall,[0.47907395 0.41304094 0.08640653 0.02147858],0.0038380110940496514
29,MADEUPTOPICf_W45,Overall,Overall,[0.26411438 0.58112382 0.1547618  0.        ],0.00836937026670871
30,MADEUPDIS_W45,Overall,Overall,[0.15642968 0.45868139 0.29947044 0.08541849],0.0045811533891709465
31,NEWSPROBe_W45,Overall,Overall,[0.37621249 0.31787035 0.24939086 0.0565263 ],0.005746241698259408
32,MADEUPTOPICb_W45,Overall,Overall,[0.61692898 0.33026067 0.05281035 0.        ],0.005130379195950006
33,INFOCHALa_W45,Overall,Overall,[0.64914613 0.26146362 0.06520667 0.02418358],0.016928223790939483
34,INFOKNOWb_W45,Overall,Overall,[0.65967855 0.34032145],0.013471828492108403
35,MADEUPSMFOL1_W45,Overall,Overall,[0.50246791 0.49753209],0.008917797384245888
36,MADEUPRESd_W45,Overall,Overall,[0.32035045 0.67964955],0.008963653929247363
37,INFOWHYb_W45,Overall,Overall,[0.86772757 0.09869898 0.03357345],0.005125789003583545
38,INFOOWNc_W45,Overall,Overall,[0.59152653 0.40847347],0.012887530968033585
39,INFOCREATEa_W45,Overall,Overall,[0.37836847 0.41152949 0.21010204 0.        ],0.006176224245774298
40,SEEK_W45,Overall,Overall,[0.60245401 0.39754599],0.007430769263747632
41,INFORESTRICTd_W45,Overall,Overall,[0.62767214 0.37232786],0.012817845886101025
42,INFOCONFUSEa_W45,Overall,Overall,[0.67240854 0.24451023 0.05191602 0.03116521],0.0025894110967404084
43,WATCHDOG_1_W45,Overall,Overall,[0.30255476 0.69744524],0.029692977687910335
44,MADEUPIMPd_W45,Overall,Overall,[0.35574279 0.42245848 0.16945422 0.05234451],0.010318494418151379
45,INFOOWNb_W45,Overall,Overall,[0.7945303 0.2054697],0.015287878183118683
46,SMSHARER_W45,Overall,Overall,[0.11975794 0.88024206],0.013038401103805528
47,FCFAIR_W45,Overall,Overall,[0.51361074 0.48638926],0.022255300840826636
48,INFOCONFUSEe_W45,Overall,Overall,[0.63412579 0.27033877 0.06241337 0.03312207],0.004316659911889583
49,MADEUPTOPICe_W45,Overall,Overall,[0.18349147 0.44269788 0.37381065 0.        ],0.004239974999195197
50,INFOOWNa_W45,Overall,Overall,[0.63880941 0.36119059],0.014412837221896286
51,INFOCHALb_W45,Overall,Overall,[0.42699181 0.41048361 0.12866002 0.03386457],0.020199762926803037
52,INFOWHYa_W45,Overall,Overall,[0.71258806 0.22325935 0.06415259],0.006334174884783691
53,SOURCESKEPc_W45,Overall,Overall,[0.04365454 0.48494833 0.37658626 0.09481087],0.001614856554417784
54,SOURCESKEPa_W45,Overall,Overall,[0.36477525 0.49196    0.10391983 0.03934492],0.002432761165223888
55,INFOCHALc_W45,Overall,Overall,[0.41297453 0.41282201 0.14069746 0.033506  ],0.018832716631337877
56,DIGWDOG_3_W45,Overall,Overall,[0.31120007 0.32202443 0.3667755 ],0.007834649063119054
