,qkey,attribute,group,D_H,R_H
0,DEBTb_W54,Overall,Overall,[0.40403294 0.59596706],0.01650984825812424
1,INEQ4_a_W54,Overall,Overall,[0.67434773 0.27478496 0.05086732 0.        ],0.003196177445093196
2,WORKHARD_W53,Overall,Overall,[0.60165854 0.39834146],0.006162996840840622
3,INEQ4_e_W54,Overall,Overall,[0.49380779 0.38407727 0.12211494 0.        ],0.0030441940938241807
4,INEQ3_W54,Overall,Overall,[0.18762192 0.67529177 0.13708631],0.007948118588368854
5,DEBTc_W54,Overall,Overall,[0.22839332 0.77160668],0.013364837082666855
6,INEQ1_W54,Overall,Overall,[0.62423848 0.1355498  0.24021173],0.027282303138712494
7,GOVRESP_d_W54,Overall,Overall,[0.35778446 0.64221554],0.006081073949489982
8,INEQ4_b_W54,Overall,Overall,[0.53701468 0.40645888 0.05652644 0.        ],0.0058168884544312115
9,ECIMPa_W54,Overall,Overall,[0.84675935 0.04810667 0.10513398],0.008921443519524338
10,INEQ5_f_W54,Overall,Overall,[0.3437797  0.32277794 0.22071976 0.11272259],0.012512161525416923
11,INEQ7_W54,Overall,Overall,[0.4381707  0.4018026  0.1390964  0.02093029],0.005249480651525615
12,FIN_SIT_W54,Overall,Overall,[0.29382912 0.41585063 0.22021879 0.07010146],0.002353479937757624
13,GOVRESP_g_W54,Overall,Overall,[0.64278245 0.35721755],0.0067639711136408594
14,ECON3_c_W54,Overall,Overall,[0.36909501 0.45162724 0.14676531 0.03251244],0.005803727654406195
15,FIN_SITMOST_W54,Overall,Overall,[0.05068674 0.38444823 0.47205724 0.09280779],0.005927525955785446
16,ECIMPe_W54,Overall,Overall,[0.03611705 0.7375722  0.22631075],0.008373776776412361
17,ECON3_b_W54,Overall,Overall,[0.24954077 0.45315238 0.21851722 0.07878963],0.012018496008357717
18,GOVRESP_a_W54,Overall,Overall,[0.56331958 0.43668042],0.0071862933411007066
19,GOVPRIORITYf_W54,Overall,Overall,[0.58645669 0.28498559 0.09340468 0.03515303],0.00620366575257225
20,ECIMPb_W54,Overall,Overall,[0.61882571 0.07633885 0.30483544],0.014232537635019714
21,BENEFITSa_W54,Overall,Overall,[0.14487993 0.85512007],0.011284415095476204
22,ECON3_d_W54,Overall,Overall,[0.43172777 0.30252535 0.18907737 0.07666951],0.008564762806327614
23,INEQ5_d_W54,Overall,Overall,[0.14947104 0.29601777 0.30444764 0.25006355],0.01391809559724198
24,DEBTd_W54,Overall,Overall,[0.41823314 0.58176686],0.015609219753050263
25,ECON3_i_W54,Overall,Overall,[0.3623442  0.40298349 0.18618424 0.04848808],0.00966723104158003
26,ECON1_W54,Overall,Overall,[0.10448822 0.45847182 0.35427122 0.08276874],0.0018988009251086843
27,INEQ8_j_W54,Overall,Overall,[0.26662629 0.31999045 0.27488476 0.1384985 ],0.012804988869100682
28,INEQ5_e_W54,Overall,Overall,[0.37693578 0.31747289 0.1963116  0.10927973],0.014428125823716264
29,INEQ5_k_W54,Overall,Overall,[0.32181497 0.30393559 0.24392066 0.13032878],0.013472124884567897
30,GOVRESP_h_W54,Overall,Overall,[0.28015728 0.71984272],0.00725809582888784
31,ECON4_b_W54,Overall,Overall,[0.16007766 0.28412086 0.33891776 0.21688372],0.008902534065584243
32,ECON4_f_W54,Overall,Overall,[0.29400734 0.3513077  0.26006163 0.09462333],0.004864652560442913
33,ECIMPi_W54,Overall,Overall,[0.0504652  0.72179437 0.22774043],0.009072597399316306
