,qkey,attribute,group,D_H,R_H
0,PROG_RNEED_W92,Overall,Overall,[0.50659113 0.34109822 0.15231065],0.009273344939268473
1,FREECOLL_W92,Overall,Overall,[0.34631765 0.28765586 0.1613542  0.20467228],0.004491809104096523
2,LEGALIMMIGAMT_W92,Overall,Overall,[0.10901977 0.17682549 0.45001261 0.13505459 0.12908754],0.027180824555245946
3,GOODEVIL_W92,Overall,Overall,[0.4884746 0.5115254],0.01654047335603671
4,PPLRESP_W92,Overall,Overall,[0.40976871 0.59023129],0.029555053049682044
5,ELECT_IMPT3_PRVFR_W92,Overall,Overall,[0.59906947 0.22364198 0.11413646 0.06315209],0.01693751259815817
6,NOGOVTHC_W92,Overall,Overall,[0.19437133 0.80562867],0.007179203595925682
7,SNGLPYER_W92,Overall,Overall,[0.52238426 0.47761574],0.01544844510276292
8,MARRFAM_W92,Overall,Overall,[0.34802863 0.65197137],0.02357713894682941
9,SOCIETY_TRANS_W92,Overall,Overall,[0.23105246 0.15312813 0.29196041 0.13904981 0.18480919],0.013152242352208774
10,WHADVANT_W92,Overall,Overall,[0.3122848  0.27002911 0.24365715 0.17402894],0.013726753600407522
11,SUPERPWR_W92,Overall,Overall,[0.62775973 0.37224027],0.042196192869028176
12,GOVWASTE_W92,Overall,Overall,[0.54691062 0.45308938],0.024097235255476933
13,GOVSIZE3_W92,Overall,Overall,[0.57817822 0.42182178],0.007728611277325083
14,ELITEUNDMOD_W92,Overall,Overall,[0.02575754 0.19833461 0.44198458 0.33392327],0.00712200728014969
15,SOCIETY_RELG_W92,Overall,Overall,[0.11019302 0.10912715 0.35177716 0.24290338 0.18599929],0.015105077459198719
16,BUSPROFIT_W92,Overall,Overall,[0.64964573 0.35035427],0.02078442228038925
17,INSTN_MSCENT_W92,Overall,Overall,[0.34629508 0.65370492],0.015787196979729544
18,GOVSIZE2_W92,Overall,Overall,[0.26510941 0.73489059],0.011671825020186466
19,PAR2CHILD_W92,Overall,Overall,[0.56762767 0.43237233],0.010133957431809509
20,IL_IMM_PRI_W92,Overall,Overall,[0.28763437 0.29489135 0.41747429],0.005197115928093161
21,OPENIDEN_W92,Overall,Overall,[0.67739647 0.32260353],0.02060620403078211
22,GOVTHC_W92,Overall,Overall,[0.62557768 0.37442232],0.009286202619371386
23,PROBOFF_a_W92,Overall,Overall,[0.65967748 0.28400451 0.05631801],0.007378710429071937
24,VTRS_VALS_W92,Overall,Overall,[0.44579785 0.55420215],0.02374432549447259
25,REPRSNTREP_W92,Overall,Overall,[0.0901765  0.33706377 0.27399249 0.29876725],0.030424304998877712
26,DIFFPARTY_W92,Overall,Overall,[0.59325252 0.31355168 0.09319579],0.006644741168081664
27,COMPROMISEVAL_W92,Overall,Overall,[0.26906036 0.73093964],0.02595115248522662
28,SOCIETY_WHT_W92,Overall,Overall,[0.06682772 0.08480049 0.62031558 0.13609451 0.0919617 ],0.013939029160977105
29,INSTN_K12_W92,Overall,Overall,[0.61459835 0.38540165],0.013034220668440809
30,VTRGHTPRIV1_W92,Overall,Overall,[0.57560711 0.42439289],0.012215621416618238
31,SOCIETY_RHIST_W92,Overall,Overall,[0.29923649 0.23194145 0.20839665 0.14538919 0.11503622],0.009976179063280364
32,PROG_RRETRO_W92,Overall,Overall,[0.47856747 0.45305179 0.06838074],0.0074143116816177915
33,BILLION_W92,Overall,Overall,[0.14764209 0.2926595  0.55969841],0.009236739291759853
34,CANMTCHPOL_W92,Overall,Overall,[0.61108057 0.38891943],0.026153491788286333
35,GOVPROTCT_W92,Overall,Overall,[0.385552 0.614448],0.01883348620430823
36,ECONFAIR_W92,Overall,Overall,[0.71850861 0.28149139],0.014057017476812038
37,CRIM_SENT2_W92,Overall,Overall,[0.28794237 0.32977589 0.38228173],0.03019855172062181
38,PEACESTR_W92,Overall,Overall,[0.29385763 0.70614237],0.01991705211718301
39,INSTN_CHR_W92,Overall,Overall,[0.64052088 0.35947912],0.026470637801181703
40,CANDEXP_W92,Overall,Overall,[0.27991572 0.39437057 0.22313812 0.10257559],0.011524921864129676
41,RELIG_GOV_W92,Overall,Overall,[0.72655455 0.27344545],0.014811900379790719
42,GODMORALIMP_W92,Overall,Overall,[0.19958346 0.3489328  0.16262563 0.28885811],0.015156418291258697
43,SOCIETY_GUNS_W92,Overall,Overall,[0.09563596 0.11537345 0.2605038  0.20022853 0.32825825],0.006795535119436563
44,POL1JB_W92,Overall,Overall,[0.56229301 0.43770699],0.016074219453236102
45,ELECT_CONF3_PRVFR_W92,Overall,Overall,[0.25087016 0.31949969 0.24880738 0.18082277],0.01914610711197132
46,LIFEFIFTY_W92,Overall,Overall,[0.36485977 0.43752955 0.19761068],0.00766909684665466
47,INSTN_LGECRP_W92,Overall,Overall,[0.29888351 0.70111649],0.028403761655849912
48,FP_AUTH_W92,Overall,Overall,[0.49748292 0.50251708],0.03147270838939721
49,INSTN_BNKS_W92,Overall,Overall,[0.5015108 0.4984892],0.03106497324925572
50,CNTRYFAIR_W92,Overall,Overall,[0.4668677 0.5331323],0.02203431617217888
51,USEXCEPT_W92,Overall,Overall,[0.23606798 0.52700591 0.23692611],0.009475881201521567
52,USMILSIZ_W92,Overall,Overall,[0.06470671 0.12768576 0.43465259 0.25170876 0.12124618],0.019891204176827
53,SOCIETY_SSM_W92,Overall,Overall,[0.25241671 0.10554514 0.33941501 0.10945245 0.1931707 ],0.010074559474462924
54,PROG_RNEED2b_W92,Overall,Overall,[0.51090074 0.48909926],0.010401444667136573
55,POORASSIST_W92,Overall,Overall,[0.38594817 0.32254199 0.29150984],0.008282618510028407
56,WOMENOBS_W92,Overall,Overall,[0.4647333 0.5352667],0.011030589982210369
57,GOVAID_W92,Overall,Overall,[0.46009778 0.53990222],0.017109187797276666
58,RACESURV52MOD_W92,Overall,Overall,[0.151511   0.20565363 0.26336556 0.37946982],0.005427084378197095
59,POLICY3MOD_W92,Overall,Overall,[0.61916027 0.05445497 0.32638477],0.011177814767560938
60,INSTN_TECHCMP_W92,Overall,Overall,[0.5275899 0.4724101],0.023739772658823256
61,INSTN_CLGS_W92,Overall,Overall,[0.58022673 0.41977327],0.020754397152987856
62,ALLIES_W92,Overall,Overall,[0.64926743 0.35073257],0.021559672043585828
63,REPRSNTDEM_W92,Overall,Overall,[0.09861294 0.37536338 0.23425435 0.29176932],0.028245692259801277
64,GOVSIZE1_W92,Overall,Overall,[0.48488848 0.51511152],0.019972544674453706
65,ELECT_CONF3_PRVSUP_W92,Overall,Overall,[0.40767267 0.37186378 0.1694312  0.05103235],0.01856515669587997
66,ELECT_IMPT3_PRVSUP_W92,Overall,Overall,[0.83652321 0.11683638 0.03507109 0.01156932],0.015012329090408451
67,PAR2CHILDa_W92,Overall,Overall,[0.36246807 0.01064333 0.6268886 ],0.007022419821811885
68,POLINTOL2_b_W92,Overall,Overall,[0.48749371 0.36527216 0.1058217  0.04141243],0.017757845078790163
69,CANQUALPOL_W92,Overall,Overall,[0.02481685 0.32141408 0.42644022 0.22732885],0.013877612126537217
70,SOCIETY_JBCLL_W92,Overall,Overall,[0.08050221 0.22283303 0.3046722  0.30132411 0.09066844],0.012622468590173063
71,GLBLZE_W92,Overall,Overall,[0.46507911 0.53492089],0.03463666817092481
72,PROBOFF_b_W92,Overall,Overall,[0.53078143 0.37861123 0.09060734],0.007678598990226766
73,UNIMMIGCOMM_W92,Overall,Overall,[0.11846391 0.3768101  0.32609073 0.17863526],0.04252714966811267
74,BIGHOUSES_W92,Overall,Overall,[0.60849858 0.39150142],0.009278435163358398
75,INSTN_LBRUN_W92,Overall,Overall,[0.57101832 0.42898168],0.04070237122627606
