,qkey,attribute,group,D_H,R_H
0,WHYNOTBIZF2N_W36,Overall,Overall,[0.24264385 0.39641202 0.36094414],0.003172784314472833
1,WHYNOTBIZF2G_W36,Overall,Overall,[0.34683843 0.29855109 0.35461048],0.00975860324271894
2,BETTERBIZ1F2B_W36,Overall,Overall,[0.03750091 0.58949468 0.37300441],0.006443286979720717
3,ESSENPOLF1E_W36,Overall,Overall,[0.45457299 0.5135809  0.03184611],0.001637148611924553
4,BETTERPOL2F1D_W36,Overall,Overall,[0.34976152 0.05754012 0.59269836],0.008580032395795871
5,BETTERBIZ1F2J_W36,Overall,Overall,[0.09363052 0.33678951 0.56957997],0.011902209881206048
6,AMNTWMNPF1_W36,Overall,Overall,[0.05609861 0.59653454 0.34736685],0.01407767216713316
7,BETTERPOL2F1A_W36,Overall,Overall,[0.13378514 0.17309529 0.69311956],0.00616113815894835
8,BETTERBIZ1F2C_W36,Overall,Overall,[0.1149806  0.42041394 0.46460547],0.004868476475332867
9,TRAITPOLMF1A_W36,Overall,Overall,[0.72882265 0.05387625 0.2173011 ],0.008676191113434014
10,EARN_W36,Overall,Overall,[0.42763822 0.40370967 0.16865211],0.00514541434383811
11,WHYNOTPOLF1E_W36,Overall,Overall,[0.20266441 0.44684744 0.35048815],0.007887215200172618
12,TRAITPOLWF1A_W36,Overall,Overall,[0.6351677  0.11892952 0.24590277],0.009877124501057719
13,STYLE1_W36,Overall,Overall,[0.42878948 0.57121052],0.007731498749660908
14,TRAITBIZWF2B_W36,Overall,Overall,[0.35386872 0.27048258 0.37564871],0.007349736061296101
15,WHYNOTBIZF2D_W36,Overall,Overall,[0.09898761 0.23092388 0.67008851],0.007504828999582393
16,HIGHEDWRNGB_W36,Overall,Overall,[0.50231869 0.26246232 0.23521898],0.0066948237187368555
17,TRAITPOLMF1E_W36,Overall,Overall,[0.73853929 0.04568196 0.21577874],0.004742962439448618
18,ESSENPOLF1H_W36,Overall,Overall,[0.68527404 0.26157253 0.05315343],0.006354878272502681
19,ESSENBIZF2B_W36,Overall,Overall,[0.58554749 0.38621389 0.02823862],0.0016968095283506363
20,ESSENBIZF2K_W36,Overall,Overall,[0.88813413 0.09527637 0.0165895 ],0.00328717123623878
21,WHYNOTBIZF2I_W36,Overall,Overall,[0.17399956 0.39350518 0.43249526],0.002090567593588164
22,WHYNOTBIZF2B_W36,Overall,Overall,[0.53754233 0.31257057 0.14988711],0.002926479810580412
23,AMNTWMNP2F1_W36,Overall,Overall,[0.07858434 0.81330934 0.10810632],0.003503445346004439
24,WHYNOTBIZF2J_W36,Overall,Overall,[0.43441913 0.34867774 0.21690314],0.0034761754825832335
25,BETTERPOL2F1F_W36,Overall,Overall,[0.2259972  0.20400543 0.56999737],0.010295670893426522
