,qkey,attribute,group,D_H,R_H
0,PQ4_F2Be_W42,Overall,Overall,[0.43872656 0.42192341 0.10065913 0.03869089],0.025447913327569897
1,PQ6_F2B_W42,Overall,Overall,[0.63623474 0.36376526],0.03122208357373149
2,PQ4_F2Cd_W42,Overall,Overall,[0.19545972 0.5173137  0.21710495 0.07012162],0.04263405287796649
3,PQ4_F2Ad_W42,Overall,Overall,[0.15291882 0.5101448  0.24658148 0.0903549 ],0.01884882339900091
4,RQ4_F1Ad_W42,Overall,Overall,[0.14734753 0.50603061 0.27590754 0.07071431],0.011694709260541478
5,RQ4_F1Be_W42,Overall,Overall,[0.38269487 0.43961893 0.13566696 0.04201925],0.01560328930547405
6,PQ2_F2B_W42,Overall,Overall,[0.11843464 0.62688165 0.25468371],0.0025756779128397016
7,SCM5j_W42,Overall,Overall,[0.45101439 0.54898561],0.03915204575103701
8,PQ7_F2A_W42,Overall,Overall,[0.73902859 0.26097141],0.019149458623058023
9,RQ3_F1Bc_W42,Overall,Overall,[0.18056132 0.81943868],0.01646142718874784
10,PQ4_F2Ca_W42,Overall,Overall,[0.54817183 0.37334129 0.05373061 0.02475627],0.017759783395253522
11,RQ4_F1Aa_W42,Overall,Overall,[0.42904415 0.47309225 0.08140527 0.01645833],0.006444654203202902
12,POP3_W42,Overall,Overall,[0.30208076 0.69791924],0.02127701676397182
13,RQ8_F1A_W42,Overall,Overall,[0.12960523 0.41331747 0.38826931 0.06880799],0.009463926647142856
14,SCM2_W42,Overall,Overall,[0.64106404 0.35893596],0.015551763345464006
15,PQ2_F2A_W42,Overall,Overall,[0.45696277 0.48222112 0.06081611],0.004051110573407123
16,PQ4_F2Bc_W42,Overall,Overall,[0.14090691 0.50330182 0.24449249 0.11129878],0.034220151179966116
17,PQ1_F2C_W42,Overall,Overall,[0.604951   0.0719662  0.32308281],0.003823337146881348
18,RQ3_F1Ba_W42,Overall,Overall,[0.2577475 0.7422525],0.014490690850178215
19,Q9F2_W42,Overall,Overall,[0.10265062 0.62078787 0.27656151],0.008057935785429187
20,CONFd_F1_W42,Overall,Overall,[0.34591976 0.52355273 0.10624478 0.02428273],0.0014619433580815517
21,PQ3_F2Cb_W42,Overall,Overall,[0.44726985 0.55273015],0.013419701007881943
22,SCM5d_W42,Overall,Overall,[0.26893053 0.73106947],0.02853565063772271
23,PQ3_F2Ca_W42,Overall,Overall,[0.46655122 0.53344878],0.006607366802693426
24,RQ3_F1Cd_W42,Overall,Overall,[0.7990622 0.2009378],0.0070297524482914025
25,RQ4_F1Bd_W42,Overall,Overall,[0.17722885 0.50377834 0.2438313  0.07516151],0.0213346081877701
26,PQ4_F2Bb_W42,Overall,Overall,[0.35888968 0.49668873 0.11210891 0.03231268],0.02411448695632765
27,RQ3_F1Ab_W42,Overall,Overall,[0.50555921 0.49444079],0.012975604515693026
28,Q7F2_W42,Overall,Overall,[0.69034153 0.07463936 0.23501911],0.01501316561808156
29,PQ1_F2B_W42,Overall,Overall,[0.60693492 0.10874871 0.28431637],0.005470490163240559
30,SCM5b_W42,Overall,Overall,[0.5553458 0.4446542],0.03455805495952375
31,RQ1_F1B_W42,Overall,Overall,[0.5699433  0.14031218 0.28974452],0.00648658954041902
32,RQ6_F1B_W42,Overall,Overall,[0.57098725 0.42901275],0.014542759875186382
33,RQ7_F1A_W42,Overall,Overall,[0.68627433 0.31372567],0.03193739170119026
34,RQ2_F1C_W42,Overall,Overall,[0.10381903 0.63594468 0.26023629],0.0029187240939540326
35,RQ6_F1C_W42,Overall,Overall,[0.55921085 0.44078915],0.017737853813835906
36,RQ4_F1Ba_W42,Overall,Overall,[0.411435  0.4611613 0.1044551 0.0229486],0.01895880600049223
37,PQ5_F2A_W42,Overall,Overall,[0.1525556  0.35535769 0.44394856 0.04813815],0.006077519549715949
38,SCM4a_W42,Overall,Overall,[0.65170031 0.290968   0.04161689 0.01571479],0.011882102980967566
39,PQ1_F2A_W42,Overall,Overall,[0.74011904 0.07774841 0.18213255],0.003760991276770236
40,RQ5_F1A_W42,Overall,Overall,[0.14400362 0.34074227 0.45981346 0.05544064],0.010049620278801777
41,RQ3_F1Bd_W42,Overall,Overall,[0.84817012 0.15182988],0.0066627130220748
42,RQ7_F1C_W42,Overall,Overall,[0.69622884 0.30377116],0.04050945740522339
43,Q9F1_W42,Overall,Overall,[0.09993143 0.58140422 0.31866435],0.008197391658823747
44,SCM5a_W42,Overall,Overall,[0.90474735 0.09525265],0.015752167538497307
45,PQ5_F2C_W42,Overall,Overall,[0.05849159 0.17927442 0.52265103 0.23958295],0.019955607240909678
46,RQ4_F1Ca_W42,Overall,Overall,[0.28626303 0.58047877 0.10573467 0.02752352],0.022426811051138903
47,CONFb_W42,Overall,Overall,[0.09073571 0.38406896 0.33869799 0.18649735],0.0022577308578197695
48,RQ1_F1C_W42,Overall,Overall,[0.51014543 0.10956617 0.3802884 ],0.0027805988647366417
49,RQ5_F1B_W42,Overall,Overall,[0.13478485 0.29686363 0.46274876 0.10560276],0.01492874684159186
50,RQ3_F1Ca_W42,Overall,Overall,[0.22265001 0.77734999],0.0064030695419240845
51,SC1_W42,Overall,Overall,[0.73181847 0.03371183 0.2344697 ],0.0022887236269905774
52,PQ3_F2Bc_W42,Overall,Overall,[0.28285686 0.71714314],0.009532751675424993
53,RQ5_F1C_W42,Overall,Overall,[0.12609128 0.31666477 0.45774676 0.09949719],0.01759720842465829
54,RQ4_F1Bc_W42,Overall,Overall,[0.16773089 0.48038951 0.26234416 0.08953544],0.01659902660848279
55,PQ7_F2C_W42,Overall,Overall,[0.74483534 0.25516466],0.035779998188559814
56,PQ4_F2Ab_W42,Overall,Overall,[0.47951589 0.4346861  0.06516064 0.02063737],0.004295243855486302
57,RQ4_F1Ab_W42,Overall,Overall,[0.32345371 0.53637856 0.11665606 0.02351167],0.007247312973206714
58,Q8F2_W42,Overall,Overall,[0.13884971 0.37180703 0.48934326],0.013707928197655306
59,SCM3_W42,Overall,Overall,[0.55334992 0.44665008],0.014419919416050085
60,PQ6_F2A_W42,Overall,Overall,[0.60847733 0.39152267],0.012266462568151495
61,RQ2_F1A_W42,Overall,Overall,[0.16157907 0.66890574 0.16951519],0.0018348791476254644
62,SCM5c_W42,Overall,Overall,[0.76394546 0.23605454],0.022456333128556025
63,SCM5f_W42,Overall,Overall,[0.73194922 0.26805078],0.031873565122469805
64,RQ4_F1Ce_W42,Overall,Overall,[0.29659487 0.51661834 0.1359703  0.05081649],0.017035014692818696
65,POLICY3_W42,Overall,Overall,[0.87125328 0.12874672 0.        ],0.005130902156634616
66,RQ3_F1Ad_W42,Overall,Overall,[0.85058844 0.14941156],0.005055360824159593
67,CONFf_W42,Overall,Overall,[0.212335   0.56699383 0.18205227 0.0386189 ],0.006870954691044506
68,PQ4_F2Ac_W42,Overall,Overall,[0.12304166 0.45947245 0.3228133  0.09467259],0.009465798743528441
69,CONFc_W42,Overall,Overall,[0.35923946 0.46029723 0.14336409 0.03709922],0.002708364705154332
70,PQ8_F2A_W42,Overall,Overall,[0.198673   0.50041175 0.2724198  0.02849545],0.006143622319599416
71,PQ8_F2C_W42,Overall,Overall,[0.1316068  0.38326692 0.36571158 0.1194147 ],0.027646387753897037
72,SCM5h_W42,Overall,Overall,[0.30146689 0.69853311],0.04602626134694263
73,RQ4_F1Cc_W42,Overall,Overall,[0.11273746 0.47082942 0.30856226 0.10787086],0.024456520629028925
74,CONFa_W42,Overall,Overall,[0.03679993 0.31797276 0.50225053 0.14297677],0.0026121612688415363
75,PQ3_F2Cc_W42,Overall,Overall,[0.21754143 0.78245857],0.00939399312989772
76,PQ4_F2Ce_W42,Overall,Overall,[0.60740823 0.31419667 0.05222433 0.02617077],0.014789513591815536
